Product_ID,Total_Sales,Total_Profit,Total_Quantity,Total_Orders,Profit_Margin_%,Product_Name,Category,SubCategory,Price,Cost
P002,370603.1,148495.1,83,26,40.068499157184604,Product 2,Furniture,Sub5,4886,2676
P007,329758.4,121522.4,74,28,36.8519497911198,Product 7,Office Supplies,Sub3,4793,2814
P041,312457.85,115461.85,68,22,36.952776190452575,Product 41,Furniture,Sub5,4909,2897
P045,303992.39999999997,138047.4,69,24,45.41146423397427,Product 45,Electronics,Sub4,4776,2405
P046,295176.3,124902.3,74,23,42.31447443443122,Product 46,Electronics,Sub4,4306,2301
P010,290832.4,79372.4,97,30,27.29145721040709,Product 10,Office Supplies,Sub5,3203,2180
P028,277767.75,94987.75,65,20,34.196824505364646,Product 28,Electronics,Sub2,4595,2812
P005,257998.65,73368.65,74,25,28.43761004175797,Product 5,Office Supplies,Sub2,3731,2495
P048,254092.5,100432.5,78,25,39.525960034239496,Product 48,Furniture,Sub4,3450,1970
P022,246587.6,47591.6,69,24,19.300078349438497,Product 22,Office Supplies,Sub3,3829,2884
